id,ime,kategorija,dolzina,sirina,leto,uporabljenost,cena,lokacija
533033,Vitech 72 FLY - 5 KABINEN,"['Flybridge', 'Motor Yacht']",21.8,5.8,2007,Used Boat,599000,Croatia
520916,Vitech Aquamarine 76,['Motor Yacht'],21.8,5.8,2007,Used Boat,629000,Croatia
516590,Fashion Yachts FASHION 68,['Hardtop'],21.8,5.45,2008,Used Boat,730000,Croatia
504992,Fashion 68,['Motor Yacht'],21.8,5.45,2008,Used Boat,730000,Croatia
463395,Selene 66,['Trawler'],21.77,5.69,2024,New Boat from Stock,2034000,Slovenia
523387,Jaguar 72 HT - MODEL 2010,['Motor Yacht'],21.72,5.6,2010,Used Boat,599000,Croatia
471991,Dominator 68S,['Motor Yacht'],21.7,5.5,2004,Used Boat,680000,Croatia
483734,"LEERANER 21,60 - STAHLJACHT - 1993",['Trawler'],21.6,5.2,1993,Used Boat,499000,Croatia
545371,Almtrawler Delfino 65,['Motor Yacht'],21.55,6.2,2015,Used Boat,1750000,Croatia
537720,Monachus 70 FLY,"['Flybridge', 'Motor Yacht']",21.5,5.8,2022,Used Boat,2100000,Croatia
521434,Fashion Yachts 68,['Hardtop'],21.5,5.62,2008,Used Boat,730000,Croatia
510838,Cormorant COR690,['Trawler'],21.5,6.25,2023,New boat preordered,1450000,Slovenia
524559,Sanlorenzo 70,['Motor Yacht'],21.4,5.6,1993,Used Boat,269000,Croatia
550241,Abacus 70,"['Flybridge', 'Motor Yacht']",21.37,5.48,2008,Used Boat,700000,Croatia
510710,Menorquin Sasga Yachts 68 Fb,['Motor Yacht'],21.3,5.8,2024,New boat preordered,2380830,Slovenia
471432,Aicon 64,['Motor Yacht'],21.3,5.31,2007,Used Boat,600000,Croatia
545067,Elegance Yachts 70,['Flybridge'],21.2,5.76,1998,Used Boat,500000,Croatia
518531,Elegance 70 FLY,"['Flybridge', 'Motor Yacht']",21.2,5.76,1998,Used Boat,599000,Croatia
511360,Elegance 70,"['Flybridge', 'Motor Yacht']",21.2,5.7,2006,Used Boat,809000,Croatia
552575,Azimut 68 S,['Hardtop'],21.17,5.07,2005,Used Boat,620000,Croatia
533016,Monachus 70 Sport top,['Motor Yacht'],21.1,5.8,2023,New boat preordered,2596000,Croatia
531705,Monachus 70,['Motor Yacht'],21.1,5.8,2023,New Boat on Order,2695000,Croatia
526208,Hanse 675,['Sailing Yacht'],21.1,5.9,2018,Used Boat,1290000,Croatia
492336,Monachus Yachts - Monachus 70 Fly,['Motor Yacht'],21.1,5.8,2022,Display Model,2100000,Croatia
319515,Sunseeker Manhattan 63,"['Flybridge', 'Motor Yacht']",21.09,5.13,2011,Used Boat,980000,Croatia
426358,Sessa C68,['Motor Yacht'],21.04,5.07,2012,Used Boat,1050000,Croatia
530213,Princess 67 FLY - BJ. 2008,"['Flybridge', 'Motor Yacht']",21.0,5.23,2008,Used Boat,950000,Slovenia
515805,AICON Yachts Aicon 64 Fly,"['Flybridge', 'Motor Yacht']",21.0,5.3,2009,Used Boat,689000,Croatia
364703,Selene 62,['Motor Yacht'],20.98,5.69,2024,New Boat from Stock,1828000,Slovenia
546669,Princess 67 FLY - BJ. 2006,"['Flybridge', 'Motor Yacht']",20.9,5.23,2006,Used Boat,699000,Croatia
419192,Galeon 640 Fly NEW BOAT,['Motor Yacht'],20.8,5.0,2023,New Boat on Order,1867200,Slovenia
541746,Princess 67,['Motor Yacht'],20.75,5.23,2006,Used Boat,699000,Croatia
499575,Posillipo-Rizzardi TECHNEMA 65,"['Flybridge', 'Motor Yacht']",20.5,5.7,1985,Used Boat,199000,Croatia
537406,Sunseeker Predator 64,['Motor Yacht'],20.4,4.95,2011,Used Boat,1230000,Croatia
519646,Sunseeker Predator 64,['Motor Yacht'],20.4,4.95,2011,Used Boat,750000,Croatia
524204,Princess V65,['Hardtop'],20.33,5.08,2009,Used Boat,825000,Croatia
239523,Dominator 65 Classic line,['Motor Yacht'],20.3,5.5,2002,Used Boat,475000,Croatia
511359,Ferretti YACHTS 670,['Motor Yacht'],20.24,5.38,2021,Used Boat,2440000,Croatia
526293,X-Yachts X-65,['Sailing Yacht'],20.01,5.36,2010,Used Boat,1050000,Slovenia
550004,Canados 70,"['Flybridge', 'Motor Yacht']",20.0,4.65,1984,Used Boat,120000,Croatia
515787,Tecnomarine T62,['Motor Yacht'],20.0,5.25,1989,Used Boat,239000,Croatia
510836,Cormorant COR66 RAV,['Trawler'],19.95,5.42,2023,New boat preordered,1850000,Slovenia
552100,Sunseeker Manhattan 64,"['Flybridge', 'Motor Yacht']",19.92,5.2,2000,Used Boat,450000,Croatia
549352,Horizon Elegance 64 1st owner Ralf Schumacher,"['Flybridge', 'Motor Yacht']",19.9,5.6,2005,Used Boat,785000,Slovenia
373415,Selene 60 Explorer,['Motor Yacht'],19.83,5.44,2024,New Boat from Stock,1621000,Slovenia
373400,Selene 60,['Motor Yacht'],19.83,5.44,2024,New Boat from Stock,1541000,Slovenia
535800,MONTE CARLO 65 - 2015,['Motor Yacht'],19.82,5.21,2015,Used Boat,1499000,Croatia
516158,Monte Carlo Yachts 65,"['Flybridge', 'Motor Yacht']",19.82,5.21,2014,Used Boat,1390000,Croatia
548801,Sunseeker Manhattan 60 MK2,"['Flybridge', 'Motor Yacht']",19.6,5.0,2009,Used Boat,730000,Croatia
539663,Sunseeker Manhattan 60,"['Flybridge', 'Motor Yacht']",19.6,5.0,2009,Used Boat,750000,Croatia
527962,VILLABOAT INTERNATIONAL B.V. OCEAN BEAST,['Motor Yacht'],19.58,11.1,2020,Used Boat,2500000,Croatia
477497,MOTORSAILER CARLA,['Motorsailer'],19.52,5.07,1976,Used Boat,250000,Croatia
331513,Rondolini e Figli Ketch 64,"['Ketch', 'Sailing Yacht']",19.52,5.07,1976,Used Boat,240000,Croatia
533324,Princess 62 FLY - 2008 - 4 KABINEN,"['Flybridge', 'Motor Yacht']",19.3,5.03,2008,Used Boat,699000,Croatia
481378,Princess 62,"['Flybridge', 'Motor Yacht']",19.3,5.03,2009,Used Boat,805000,Croatia
480261,Elegance 60 Open,['Motor Yacht'],19.3,5.3,2009,Used Boat,689000,Croatia
547217,Sessa C68,['Motor Yacht'],19.24,5.07,2012,Used Boat,950000,Croatia
520298,Burger Boat Burger 63' Classic Motor Yacht,['Motor Yacht'],19.22,4.9,1961,Used Boat,340000,Croatia
540968,Elegance 64,['Motor Yacht'],19.1,5.5,2009,Used Boat,799000,Croatia
466226,Yaretti 1910,"['Flybridge', 'Motor Yacht']",19.1,5.16,1991,Used Boat,175400,Croatia
530975,Azimut 62S,['Motor Yacht'],19.06,4.9,2009,Used Boat,659000,Croatia
549349,Fairline SQUADRON 62,['Motor Yacht'],19.02,5.28,1992,Used Boat,290000,Croatia
520915,Jeanneau Prestige 630,"['Flybridge', 'Motor Yacht']",19.02,5.13,2018,Used Boat,1095000,Croatia
530558,"Solaris 60 One, Bill Tripp design",['Sailing Yacht'],18.91,5.1,2010,Used Boat,885000,Croatia
537394,Admiral 62 FLY - BJ. 2001,"['Flybridge', 'Motor Yacht']",18.9,4.98,2001,Used Boat,349000,Croatia
525116,Astor 59,['Motor Yacht'],18.9,4.9,1991,Used Boat,139000,Croatia
319083,Fairline Targa 62,['Hardtop'],18.88,4.75,2006,Used Boat,350000,Croatia
536799,Princess 61,"['Flybridge', 'Motor Yacht']",18.77,4.88,2003,Used Boat,449000,Croatia
369728,ABSOLUTE 62 FLY,"['Flybridge', 'Motor Yacht']",18.65,5.05,2019,New Boat from Stock,1490000,Croatia
537542,Princess 60,"['Flybridge', 'Motor Yacht']",18.61,4.83,2014,Used Boat,1280000,Croatia
517789,Princess 60,"['Flybridge', 'Motor Yacht']",18.61,4.83,2012,Used Boat,949000,Croatia
506708,Princess 60,"['Flybridge', 'Motor Yacht']",18.61,4.83,2012,Used Boat,990000,Croatia
517471,Riva 59 Mercurius,['Motor Yacht'],18.58,4.72,2003,Used Boat,585000,Croatia
513415,Cranchi 60 ST,['Motor Yacht'],18.52,4.85,2018,Used Boat,820000,Croatia
536808,Odisej Lacarak BRUCE ROBERTS TRAWLER TY,['Trawler'],18.5,5.8,2013,Used Boat,540000,Croatia
505607,Guy Couach 185,"['Flybridge', 'Motor Yacht']",18.5,4.75,2000,Used Boat,295000,Croatia
395340,Reichel Pugh 60,['Sailing Yacht'],18.5,4.01,2002,Used Boat,450000,Croatia
518231,Bénéteau Oceanis 60,['Sailing Yacht'],18.45,5.0,2015,Used Boat,450000,Croatia
514396,Sunseeker Predator 58,['Motor Yacht'],18.44,4.6,1999,Used Boat,270000,Croatia
540240,Azimut 60 Flybridge,['Motor Yacht'],18.4,5.05,2018,Used Boat,1500000,Croatia
491225,Absolute 60 Fly,"['Flybridge', 'Motor Yacht']",18.4,5.05,2017,Used Boat,1300000,Croatia
345761,Azimut 62 S,['Motor Yacht'],18.4,4.9,2006,Used Boat,499000,Croatia
542308,Princess 60,['Motor Yacht'],18.37,4.79,2012,Used Boat,990000,Croatia
504982,Sunseeker Predator 58,['Motor Yacht'],18.35,4.59,1999,Used Boat,270000,Croatia
552477,Ferretti 592,"['Flybridge', 'Motor Yacht']",18.33,5.25,1995,Used Boat,134000,Croatia
364702,Selene 54,['Motor Yacht'],18.24,5.08,2024,New Boat from Stock,1192000,Slovenia
546995,Princess V58,['Motor Yacht'],18.19,4.62,2009,Used Boat,499000,Croatia
455411,Princess V 58,['Motor Yacht'],18.19,4.62,2008,Used Boat,490000,Croatia
433491,Princess V58 HT,['Motor Yacht'],18.19,4.6,2007,Used Boat,479000,Croatia
487719,Hershine Pilothouse Trawler 57,['Trawler'],18.06,4.91,2004,Used Boat,455000,Croatia
533249,Azimut S6,['Hardtop'],18.0,4.65,2020,Used Boat,1370000,Croatia
475029,Sunseeker Predator 57,['Motor Yacht'],18.0,4.7,2015,Used Boat,820000,Croatia
527985,Prestige Yachts Flybridge 550,"['Flybridge', 'Motor Yacht']",17.92,4.79,2016,Used Boat,798000,Croatia
516693,Ferretti 58S/185,['Motor Yacht'],17.9,5.6,1994,Used Boat,250000,Croatia
544264,Jeanneau Prestige 550,"['Flybridge', 'Motor Yacht']",17.88,4.78,2013,Used Boat,770000,Croatia
545950,Ferretti 590,"['Flybridge', 'Motor Yacht']",17.86,5.25,2005,Used Boat,600000,Croatia
515935,Explorer 58,"['Flybridge', 'Motor Yacht']",17.84,5.2,2015,Used Boat,1400000,Slovenia
522863,"Galeon 560 Fly, NEW BOAT","['Flybridge', 'Motor Yacht']",17.82,4.82,2023,New Boat on Order,1210500,Slovenia
518747,Princess 58,"['Flybridge', 'Motor Yacht']",17.8,4.8,2008,Used Boat,670000,Croatia
509805,Bénéteau Sense 57,['Sailing Yacht'],17.78,5.4,2017,Used Boat,520000,Croatia
506859,Werfat Vogel Motor Yacht,['Trawler'],17.74,4.36,1966,Used Boat,370000,Croatia
540013,Wauquiez Centurion 57,['Sailing Yacht'],17.71,4.96,2013,Used Boat,515000,Croatia
534734,Wauquiez Centurion 57,"['Cruising Yacht', 'Keelboat', 'Sailing Yacht']",17.7,4.95,2013,Used Boat,515000,Croatia
525616,Princess V58 - MODEL 2008 - 400 STUNDEN,['Motor Yacht'],17.68,4.6,2007,Used Boat,479990,Croatia
511232,Princess F55,"['Flybridge', 'Motor Yacht']",17.65,4.88,2020,Used Boat,1495000,Croatia
544358,Absolute 56 FLY,"['Flybridge', 'Motor Yacht']",17.64,4.79,2022,Used Boat,2000000,Croatia
477926,Sunseeker Manhattan 52,"['Flybridge', 'Motor Yacht']",17.6,4.63,2008,Used Boat,499000,Croatia
425327,Sunseeker Predator 52,['Motor Yacht'],17.6,4.63,2011,Used Boat,650000,Croatia
548376,Princess 56,"['Flybridge', 'Motor Yacht']",17.53,4.9,2013,Used Boat,920000,Croatia
536408,Fairline Squadron 55/58,"['Cabin Cruiser', 'Flybridge', 'Motor Yacht']",17.5,4.7,1998,Used Boat,259000,Croatia
546864,Fairline Squadron 55,"['Flybridge', 'Motor Yacht']",17.4,4.5,1996,Used Boat,275000,Croatia
543552,Aicon 56,"['Flybridge', 'Motor Yacht']",17.4,4.8,2007,Used Boat,359000,Croatia
490583,Aicon 56 FLY - MODEL 2007,"['Flybridge', 'Motor Yacht']",17.4,4.8,2007,Used Boat,349000,Croatia
327966,Grand Soleil  56 Race,['Sailing Yacht'],17.4,4.1,2003,Used Boat,110000,Croatia
484201,President 57,['Motor Yacht'],17.35,5.45,1991,Used Boat,149000,Croatia
552365,Jeanneau 58,['Sailing Yacht'],17.28,5.0,2018,Used Boat,550000,Croatia
527281,Sunseeker Manhattan 52,['Motor Yacht'],17.21,4.87,2017,Used Boat,1400000,Croatia
